File|SC Insert (ms)|SC Get (ms)|OA Insert (ms)|OA Get (ms)|Word Count
2000010.txt|149.2|2.7366020524515394E-4|95.4|0.00862029646522235|101461
2city10.txt|105.0|1.6824002243200298E-4|79.4|0.0087110944948126|135901
2city11.txt|68.2|2.0102339181286548E-4|66.6|0.009119152046783626|137579
7gabl10.txt|57.4|1.7530020159523183E-4|55.8|0.009729161188535368|106599
80day10.txt|32.2|1.985533966813218E-4|32.4|0.007828676783434975|62744
abbott-flatland-361.txt|18.6|1.2581253931641853E-4|23.8|0.0045711889284965395|33761
aeneid.txt|54.8|2.0040080160320639E-4|82.2|0.008884435537742152|107805
aesop11.txt|24.2|2.2099447513812152E-4|20.2|0.005046040515653776|40785
aesopa10.txt|7.0|8.442380751371887E-5|7.6|0.0023638666103841287|13918
alad10.txt|6.2|0.0|4.2|0.0020134228187919465|6802
alcott-flower-619.txt|16.2|1.3463480309660046E-4|17.2|0.003365870077415012|35767
alcott-little-261.txt|95.6|1.1815343066925478E-4|94.8|0.011292092159675922|186649
alexb10.txt|15.8|1.4031805425631432E-4|16.2|0.003227315247895229|30279
alger-cast-544.txt|25.8|1.3956734124214934E-4|29.0|0.0029774366131658527|56087
alger-ragged-545.txt|24.8|2.49635947576451E-4|23.8|0.003952569169960474|47937
alger-struggling-546.txt|26.6|1.3198416190057194E-4|27.2|0.004267487901451826|51659
alice.txt|12.8|2.8011204481792715E-4|13.0|0.0035714285714285713|26778
alice11.txt|13.0|2.117148906139732E-4|13.2|0.00310515172900494|26614
alice13a.txt|12.8|2.1413276231263385E-4|13.2|0.003069236259814418|26563
alice30.txt|12.8|1.9392372333548806E-4|12.2|0.00400775694893342|28104
alicewonder.txt|12.4|2.910149145143689E-4|13.0|0.003128410331029466|26404
allflesh.txt|81.2|2.2533095483992112E-4|80.8|0.009182236409726787|162419
ameri10.txt|72.4|1.2042147516307075E-4|68.8|0.00828901154039137|135480
anna_karenina.txt|179.8|1.5903997686691245E-4|188.8|0.014053350683148991|351496
anne11.txt|52.4|1.895734597156398E-4|52.8|0.010023696682464455|104075
